freq,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text.started,key_resp.started,key_resp.keys,key_resp.rt,fixation.started,sound_1.started,key_resp_3.started,fixation.stopped,sound_1.stopped,freq,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,text_2.started,key_resp_2.started,key_resp_2.keys,participant,session,date,expName,psychopyVersion,frameRate,
200,5,4,39,1,,,,,99.2385484999977,100.23831803002395,100.23850470001344,100.23850470001344,,200,up,1,0.8681545000290498,,,,076899,001,2023-11-24_12h30.28.971,final project experiment,2022.2.1,60.05771544956457,
500,5,5,40,5,,,,,101.1368757999735,102.13595552998595,102.13637029996607,102.13637029996607,102.81620659999317,500,down,1,0.8282747000339441,,,,076899,001,2023-11-24_12h30.28.971,final project experiment,2022.2.1,60.05771544956457,
200,5,6,41,2,,,,,102.98569389997283,103.98397423001006,103.98419139999896,104.00085259997286,104.66461599996546,200,up,1,0.8814849000191316,,,,076899,001,2023-11-24_12h30.28.971,final project experiment,2022.2.1,60.05771544956457,
200,6,0,42,0,,,,,104.88335580000421,105.88244443002623,105.88231109996559,105.88231109996559,106.562541399966,200,down,1,0.795684100012295,,,,076899,001,2023-11-24_12h30.28.971,final project experiment,2022.2.1,60.05771544956457,
200,6,1,43,1,,,,,106.6982731000171,107.69707282999298,107.69712690002052,107.71408780000638,108.37814240000444,200,up,1,0.8431415999657474,,,,076899,001,2023-11-24_12h30.28.971,final project experiment,2022.2.1,60.05771544956457,
500,6,2,44,6,,,,,108.56315609999001,109.56178132997593,109.56183099996997,109.57892870000796,110.25923279998824,500,up,1,0.9760990999639034,,,,076899,001,2023-11-24_12h30.28.971,final project experiment,2022.2.1,60.05771544956457,
200,6,3,45,3,,,,,110.56120240001474,111.5606668299879,111.56051370000932,111.56051370000932,,200,down,1,0.8206030000001192,,,,076899,001,2023-11-24_12h30.28.971,final project experiment,2022.2.1,60.05771544956457,
500,6,4,46,5,,,,,112.40955569996731,113.40819842997007,113.4082051999867,113.4251465999987,114.10561690002214,500,up,1,1.0206590000307187,,,,076899,001,2023-11-24_12h30.28.971,final project experiment,2022.2.1,60.05771544956457,
200,6,5,47,2,,,,,114.45731859997613,115.45710712997243,115.45729210000718,115.45729210000718,,200,down,1,0.9589975000126287,,,,076899,001,2023-11-24_12h30.28.971,final project experiment,2022.2.1,60.05771544956457,
500,6,6,48,4,,,,,116.43848939996678,117.4377529299818,117.43774600001052,117.43774600001052,118.13495949999196,500,up,1,0.8969921999960206,,,,076899,001,2023-11-24_12h30.28.971,final project experiment,2022.2.1,60.05771544956457,
200,7,0,49,3,,,,,118.35383520001778,119.35258253000211,119.35293389996514,119.369349399989,120.0328064999776,200,down,1,0.7948268000036478,,,,076899,001,2023-11-24_12h30.28.971,final project experiment,2022.2.1,60.05771544956457,
500,7,1,50,6,,,,,120.1682284999988,121.16689513000892,121.16730259999167,121.1837745999801,121.84790609998163,500,down,1,0.9374008000595495,,,,076899,001,2023-11-24_12h30.28.971,final project experiment,2022.2.1,60.05771544956457,
500,7,2,51,5,,,,,122.13365869998233,123.1322618299746,123.13185880001402,123.14845229999628,,500,down,1,0.7638648000429384,,,,076899,001,2023-11-24_12h30.28.971,final project experiment,2022.2.1,60.05771544956457,
200,7,3,52,1,,,,,123.91459880000912,124.91424602997722,124.91391740000108,124.91391740000108,125.59437860001344,200,down,1,0.8138226000010036,,,,076899,001,2023-11-24_12h30.28.971,final project experiment,2022.2.1,60.05771544956457,
200,7,4,53,2,,,,,125.74610759998905,126.74498943000799,126.7450114999665,126.76198710000608,127.44214140000986,200,down,1,0.7174123000004329,,,,076899,001,2023-11-24_12h30.28.971,final project experiment,2022.2.1,60.05771544956457,
500,7,5,54,4,,,,,127.491502400022,128.47675272997003,128.47713449998992,128.49417309998535,129.15736389998347,500,up,1,0.9791813000338152,,,,076899,001,2023-11-24_12h30.28.971,final project experiment,2022.2.1,60.05771544956457,
200,7,6,55,0,,,,,129.47557660000166,130.4752136300085,130.47534220002126,130.47534220002126,,200,down,1,0.7041378000285476,,,,076899,001,2023-11-24_12h30.28.971,final project experiment,2022.2.1,60.05771544956457,
200,8,0,56,3,,,,,131.20743439998478,132.2070764299715,132.20740159996785,132.20740159996785,132.90402239997638,200,down,1,0.8458466000156477,,,,076899,001,2023-11-24_12h30.28.971,final project experiment,2022.2.1,60.05771544956457,
200,8,1,57,1,,,,,133.0720689999871,134.07129733002512,134.07138659997145,134.07138659997145,,200,up,1,0.7961898000212386,,,,076899,001,2023-11-24_12h30.28.971,final project experiment,2022.2.1,60.05771544956457,
200,8,2,58,0,,,,,134.9010782999685,135.8861660300172,135.8856162999873,135.90287330001593,136.56647339998744,200,down,1,0.7607734000193886,,,,076899,001,2023-11-24_12h30.28.971,final project experiment,2022.2.1,60.05771544956457,
500,8,3,59,4,,,,,136.66873400000622,137.66770152997924,137.66789480001898,137.6850553000113,138.36522019997938,500,up,1,1.0465138000436127,,,,076899,001,2023-11-24_12h30.28.971,final project experiment,2022.2.1,60.05771544956457,
500,8,4,60,5,,,,,138.73347249999642,139.73287333000917,139.73348920000717,139.73348920000717,140.41287020000163,500,up,1,1.051411000022199,,,,076899,001,2023-11-24_12h30.28.971,final project experiment,2022.2.1,60.05771544956457,
500,8,5,61,6,,,,,140.81451019999804,141.81361022999045,141.8137074999977,141.8137074999977,142.4942374000093,500,up,1,1.0293316000024788,,,,076899,001,2023-11-24_12h30.28.971,final project experiment,2022.2.1,60.05771544956457,
200,8,6,62,2,,,,,142.86284909996903,143.86177442996996,143.8621717999922,143.87857469997834,144.54233730002306,200,down,1,0.8909355999785475,,,,076899,001,2023-11-24_12h30.28.971,final project experiment,2022.2.1,60.05771544956457,
500,9,0,63,4,,,,,144.7779730000184,145.77697323000757,145.77788770000916,145.77788770000916,146.47383699996863,500,down,1,0.9052983000292443,,,,076899,001,2023-11-24_12h30.28.971,final project experiment,2022.2.1,60.05771544956457,
500,9,1,64,6,,,,,146.7091020999942,147.7079193299869,147.70848179998575,147.72514689998934,148.3884420999675,500,up,1,1.0788496999884956,,,,076899,001,2023-11-24_12h30.28.971,final project experiment,2022.2.1,60.05771544956457,
200,9,2,65,3,,,,,148.80681619996903,149.80631913000252,149.8061130999704,149.8061130999704,150.5031098999898,200,up,1,1.0772692000027746,,,,076899,001,2023-11-24_12h30.28.971,final project experiment,2022.2.1,60.05771544956457,
200,9,3,66,2,,,,,150.90531200001715,151.90396652999334,151.9042823999771,151.92063269997016,152.5841250999947,200,down,1,0.8858250000048429,,,,076899,001,2023-11-24_12h30.28.971,final project experiment,2022.2.1,60.05771544956457,
200,9,4,67,1,,,,,152.83342569996603,153.81890782999108,153.81867359997705,153.83579300000565,154.4991699999664,200,down,1,1.1490257999976166,,,,076899,001,2023-11-24_12h30.28.971,final project experiment,2022.2.1,60.05771544956457,
500,9,5,68,5,,,,,154.9846433000057,155.98373913002433,155.9836318999878,155.9836318999878,156.66355559998192,500,down,1,0.9739564000046812,,,,076899,001,2023-11-24_12h30.28.971,final project experiment,2022.2.1,60.05771544956457,
200,9,6,69,0,,,,,156.98324380000122,157.98120793001726,157.98161720001372,157.9982297999668,158.6622852999717,200,up,1,1.020960499998182,,,,076899,001,2023-11-24_12h30.28.971,final project experiment,2022.2.1,60.05771544956457,
500,10,0,70,6,,,,,159.03029899997637,160.03019313002005,160.02994829998352,160.02994829998352,160.72613009996712,500,up,1,1.0155673999688588,,,,076899,001,2023-11-24_12h30.28.971,final project experiment,2022.2.1,60.05771544956457,
