freq,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text.started,key_resp.started,key_resp.keys,key_resp.rt,fixation.started,fixation.stopped,sound_1.started,key_resp_3.started,sound_1.stopped,freq,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,text_2.started,key_resp_2.started,key_resp_2.keys,participant,session,date,expName,psychopyVersion,frameRate,
500,1,4,11,4,,,,,72.29406020004535,73.29680820001522,73.27955110002658,73.27949040004751,,500,up,1,1.2291673999861814,,,,m,001,2023-11-24_15h54.42.566,final project experiment,2022.2.1,60.03247757306277,
500,1,5,12,6,,,,,74.54201110004215,75.54523420002079,75.52764050003024,75.52816800004803,76.20723440003349,500,down,1,0.7551555000245571,,,,m,001,2023-11-24_15h54.42.566,final project experiment,2022.2.1,60.03247757306277,
200,1,6,13,2,,,,,76.32376890000887,77.32575330004329,77.31034950002213,77.30886400002055,,200,down,1,1.3814102999749593,,,,m,001,2023-11-24_15h54.42.566,final project experiment,2022.2.1,60.03247757306277,
200,2,0,14,3,,,,,78.72122100001434,79.72350020002341,79.70706880003563,79.70738610002445,,200,down,0,0.1573350999969989,,,,m,001,2023-11-24_15h54.42.566,final project experiment,2022.2.1,60.03247757306277,
200,2,1,15,1,,,,,80.08640360005666,81.08872150001116,81.07193570000236,81.07235220004804,81.7516468000249,200,down,0,0.998086899984628,,,,m,001,2023-11-24_15h54.42.566,final project experiment,2022.2.1,60.03247757306277,
200,2,2,16,0,,,,,82.10157200001413,83.10459160001483,83.086339400016,83.08692210004665,83.78311870002653,200,up,0,2.2178580000181682,,,,m,001,2023-11-24_15h54.42.566,final project experiment,2022.2.1,60.03247757306277,
200,2,3,17,2,,,,,85.34792900003958,86.3498919000267,86.33336620001937,86.333167600038,,200,up,0,4.364201299962588,,,,m,001,2023-11-24_15h54.42.566,final project experiment,2022.2.1,60.03247757306277,
500,2,4,18,5,,,,,90.72973620000994,91.74488090001978,91.72777430001297,91.72830210003303,92.40809140005149,500,up,1,2.8244091999949887,,,,m,001,2023-11-24_15h54.42.566,final project experiment,2022.2.1,60.03247757306277,
500,2,5,19,6,,,,,94.58952040004078,95.59187470003963,95.57453970003989,95.5750423000427,96.2542307000258,500,up,1,4.146220900001936,,,,m,001,2023-11-24_15h54.42.566,final project experiment,2022.2.1,60.03247757306277,
500,2,6,20,4,,,,,99.76707729999907,100.76926950004417,100.75284370004083,100.75280340004247,101.43217850005021,500,up,1,2.3195962999598123,,,,m,001,2023-11-24_15h54.42.566,final project experiment,2022.2.1,60.03247757306277,
200,3,0,21,3,,,,,103.11384880001424,104.11617450002814,104.09964640000253,104.09971880004741,,200,up,0,0.2612790000275709,,,,m,001,2023-11-24_15h54.42.566,final project experiment,2022.2.1,60.03247757306277,
500,3,1,22,5,,,,,104.57930830004625,105.58123900002101,105.56484160000109,105.56462010001997,,500,up,1,3.3179424999980256,,,,m,001,2023-11-24_15h54.42.566,final project experiment,2022.2.1,60.03247757306277,
500,3,2,23,4,,,,,108.92539000004763,109.92704690003302,109.90993580005015,109.9101803000085,,500,up,1,0.17694810003740713,,,,m,001,2023-11-24_15h54.42.566,final project experiment,2022.2.1,60.03247757306277,
200,3,3,24,1,,,,,110.30703150003683,111.30899680004222,111.2920918000571,111.2928425000282,,200,up,1,0.06683919997885823,,,,m,001,2023-11-24_15h54.42.566,final project experiment,2022.2.1,60.03247757306277,
200,3,4,25,0,,,,,111.57212660001824,112.57434560003458,112.55828370000818,112.55809950002003,,200,up,0,0.023990600020624697,,,,m,001,2023-11-24_15h54.42.566,final project experiment,2022.2.1,60.03247757306277,
200,3,5,26,2,,,,,112.80513530003373,113.8066339000361,113.78998140005278,113.79011300002458,,200,down,1,0.2372550999862142,,,,m,001,2023-11-24_15h54.42.566,final project experiment,2022.2.1,60.03247757306277,
