freq,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text.started,key_resp.started,key_resp.keys,key_resp.rt,fixation.started,fixation.stopped,sound_1.started,key_resp_3.started,sound_1.stopped,freq,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,text_2.started,key_resp_2.started,key_resp_2.keys,participant,session,date,expName,psychopyVersion,frameRate,
200,2,0,14,1,,,,,76.34839339996688,77.35076219995972,77.33509842000785,77.33424689999083,78.01392989995657,200,down,1,1.1101035999599844,,,,H,001,2023-11-24_15h49.03.244,final project experiment,2022.2.1,60.159313896555865,
500,2,1,15,6,,,,,78.48007609997876,79.48223179997876,79.4662337199843,79.46573639998678,80.14532149996376,500,up,1,1.0836513999965973,,,,H,001,2023-11-24_15h49.03.244,final project experiment,2022.2.1,60.159313896555865,
200,2,2,16,3,,,,,80.5808035999653,81.58077349996893,81.58028841999476,81.58077349996893,82.2763879999984,200,down,1,1.0005676000146195,,,,H,001,2023-11-24_15h49.03.244,final project experiment,2022.2.1,60.159313896555865,
500,2,3,17,5,,,,,82.61205789999804,83.61189120000927,83.61216981997131,83.61189120000927,84.30793690000428,500,up,1,0.9018416999606416,,,,H,001,2023-11-24_15h49.03.244,final project experiment,2022.2.1,60.159313896555865,
200,2,4,18,0,,,,,84.55727379996097,85.55947679997189,85.54533611997613,85.54262139997445,,200,down,1,1.0750158000155352,,,,H,001,2023-11-24_15h49.03.244,final project experiment,2022.2.1,60.159313896555865,
200,2,5,19,2,,,,,86.65545689995633,87.65757839998696,87.64125731997774,87.64091309998184,88.33653659996344,200,down,1,0.892154999950435,,,,H,001,2023-11-24_15h49.03.244,final project experiment,2022.2.1,60.159313896555865,
500,2,6,20,4,,,,,88.55581230000826,89.55663949996233,89.55672932000016,89.55663949996233,90.25165160000324,500,down,1,1.6544379999977536,,,,H,001,2023-11-24_15h49.03.244,final project experiment,2022.2.1,60.159313896555865,
200,3,0,21,0,,,,,91.25078239996219,92.25366839999333,92.23652442000457,92.23700510000344,92.93268209998496,200,up,1,1.1822393999900669,,,,H,001,2023-11-24_15h49.03.244,final project experiment,2022.2.1,60.159313896555865,
500,3,1,22,5,,,,,93.44851700001163,94.45072949997848,94.43447211998864,94.43458489998011,95.1131929999683,500,up,1,1.2418956000474282,,,,H,001,2023-11-24_15h49.03.244,final project experiment,2022.2.1,60.159313896555865,
200,3,2,23,3,,,,,95.71318550000433,96.71528509998461,96.69841661999817,96.69857109995792,97.378072099993,200,up,1,1.0606795999919996,,,,H,001,2023-11-24_15h49.03.244,final project experiment,2022.2.1,60.159313896555865,
500,3,3,24,4,,,,,97.79413619998377,98.7966454999987,98.78037001998746,98.77999919996364,99.46011049998924,500,up,1,2.9175146999768913,,,,H,001,2023-11-24_15h49.03.244,final project experiment,2022.2.1,60.159313896555865,
200,3,4,25,1,,,,,101.74060819996521,102.74248779995833,102.72681911996915,102.72619289997965,103.4053345999564,200,up,1,3.1869091000407934,,,,H,001,2023-11-24_15h49.03.244,final project experiment,2022.2.1,60.159313896555865,
500,3,5,26,6,,,,,105.9538941999781,106.95511609996902,106.938751019974,106.9385093000019,107.61807319999207,500,down,1,1.209344399976544,,,,H,001,2023-11-24_15h49.03.244,final project experiment,2022.2.1,60.159313896555865,
200,3,6,27,2,,,,,108.18427879997762,109.18640239996603,109.17026161999092,109.16959010000573,109.84961669996846,200,down,1,2.604790800018236,,,,H,001,2023-11-24_15h49.03.244,final project experiment,2022.2.1,60.159313896555865,
200,4,0,28,0,,,,,111.81361549999565,112.81674979999661,112.79991281995899,112.79945419996511,,200,up,1,1.642168699996546,,,,H,001,2023-11-24_15h49.03.244,final project experiment,2022.2.1,60.159313896555865,
500,4,1,29,6,,,,,114.47796029999154,115.48105429997668,115.46485751998262,115.46382569998968,116.14395160001004,500,up,1,1.4432086999877356,,,,H,001,2023-11-24_15h49.03.244,final project experiment,2022.2.1,60.159313896555865,
500,4,2,30,4,,,,,116.94212570000673,117.94620409997879,117.9280783199647,117.92832339997403,118.6247999999905,500,down,1,1.7441695000161417,,,,H,001,2023-11-24_15h49.03.244,final project experiment,2022.2.1,60.159313896555865,
200,4,3,31,2,,,,,119.70658759999787,120.70855139999185,120.69187001997489,120.69147580000572,121.37122349999845,200,up,0,1.9891029999707825,,,,H,001,2023-11-24_15h49.03.244,final project experiment,2022.2.1,60.159313896555865,
500,4,4,32,5,,,,,122.71996869996656,123.72212619998027,123.70567331995699,123.70515069999965,124.38505549996626,500,down,1,0.9207072000135668,,,,H,001,2023-11-24_15h49.03.244,final project experiment,2022.2.1,60.159313896555865,
200,4,5,33,1,,,,,124.668402899988,125.67026749998331,125.65349461996811,125.65332519996446,126.34969770000316,200,down,1,1.0065486000385135,,,,H,001,2023-11-24_15h49.03.244,final project experiment,2022.2.1,60.159313896555865,
200,4,6,34,3,,,,,126.69942189997528,127.70123569999123,127.68522521996056,127.68504750001011,128.3644237999688,200,up,1,3.103036099986639,,,,H,001,2023-11-24_15h49.03.244,final project experiment,2022.2.1,60.159313896555865,
500,5,0,35,6,,,,,130.82859709998593,131.8314049000037,131.8147308199841,131.8144750999636,,500,up,1,2.8326078999671154,,,,H,001,2023-11-24_15h49.03.244,final project experiment,2022.2.1,60.159313896555865,
200,5,1,36,2,,,,,134.72772179997992,135.7272162999725,135.71023691995651,135.71041419997346,136.40638020000188,200,up,1,1.1906034999992698,,,,H,001,2023-11-24_15h49.03.244,final project experiment,2022.2.1,60.159313896555865,
500,5,2,37,4,,,,,136.94027570000617,137.9412544000079,137.92474322000635,137.92532320000464,138.621771599981,500,down,1,0.9262526000384241,,,,H,001,2023-11-24_15h49.03.244,final project experiment,2022.2.1,60.159313896555865,
200,5,3,38,1,,,,,138.8873704999569,139.88950300001306,139.87338042000192,139.8727829999989,140.5695308999857,200,down,1,0.9211381000350229,,,,H,001,2023-11-24_15h49.03.244,final project experiment,2022.2.1,60.159313896555865,
500,5,4,39,5,,,,,140.83561389998067,141.83804929995677,141.8223808199691,141.82133659999818,,500,up,1,4.342701699992176,,,,H,001,2023-11-24_15h49.03.244,final project experiment,2022.2.1,60.159313896555865,
200,5,5,40,0,,,,,146.19715139997425,147.19908319995739,147.18314861998078,147.1825850000023,,200,up,0,0.5331766000017524,,,,H,001,2023-11-24_15h49.03.244,final project experiment,2022.2.1,60.159313896555865,
200,5,6,41,3,,,,,147.87919669999974,148.8822269999655,148.86454611996305,148.86452229996212,,200,down,1,1.05053060001228,,,,H,001,2023-11-24_15h49.03.244,final project experiment,2022.2.1,60.159313896555865,
200,6,0,42,0,,,,,149.94638839998515,150.94568880001316,150.94631681995816,150.94568880001316,151.6418008999899,200,up,1,2.8376791999908164,,,,H,001,2023-11-24_15h49.03.244,final project experiment,2022.2.1,60.159313896555865,
