freq,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text.started,key_resp.started,key_resp.keys,key_resp.rt,fixation.started,sound_1.started,key_resp_3.started,fixation.stopped,freq,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,sound_1.stopped,text_2.started,key_resp_2.started,key_resp_2.keys,participant,session,date,expName,psychopyVersion,frameRate,
200,5,6,41,3,,,,,137.2543915999122,138.25382563993335,138.25367069989443,138.25367069989443,200,down,1,0.4770270000444725,138.9337331999559,,,,n,001,2023-11-26_11h10.03.229,final project experiment,2022.2.1,59.91906132949289,
500,6,0,42,5,,,,,138.9337331999559,139.9189679400064,139.9186768999789,139.93563500000164,500,down,0,0.652312699938193,,,,,n,001,2023-11-26_11h10.03.229,final project experiment,2022.2.1,59.91906132949289,
200,6,1,43,1,,,,,140.59823899995536,141.6003726399271,141.60054039990064,141.60054039990064,200,down,0,0.5668701999820769,142.2968782999087,,,,n,001,2023-11-26_11h10.03.229,final project experiment,2022.2.1,59.91906132949289,
200,6,2,44,0,,,,,142.2968782999087,143.2819793399889,143.28156549995765,143.2979954999173,200,down,0,0.8109693999867886,143.97905029996764,,,,n,001,2023-11-26_11h10.03.229,final project experiment,2022.2.1,59.91906132949289,
500,6,3,45,4,,,,,144.114425299922,145.11419963997324,145.1141621998977,145.1141621998977,500,down,1,0.6101737000280991,145.79333179991227,,,,n,001,2023-11-26_11h10.03.229,final project experiment,2022.2.1,59.91906132949289,
500,6,4,46,6,,,,,145.79333179991227,146.79579853997566,146.7955920000095,146.7955920000095,500,down,0,0.4694042999763042,147.49270669999532,,,,n,001,2023-11-26_11h10.03.229,final project experiment,2022.2.1,59.91906132949289,
200,6,5,47,2,,,,,147.49270669999532,148.47756703998894,148.47722629993223,148.49352369992994,200,down,1,0.524963999981992,149.1739162999438,,,,n,001,2023-11-26_11h10.03.229,final project experiment,2022.2.1,59.91906132949289,
200,6,6,48,3,,,,,149.1739162999438,150.17596693998203,150.17558399995323,150.17558399995323,200,down,1,0.5606509000062943,150.87218239996582,,,,n,001,2023-11-26_11h10.03.229,final project experiment,2022.2.1,59.91906132949289,
500,7,0,49,6,,,,,150.87218239996582,151.8578932399163,151.85736739996355,151.87518559989985,500,down,0,0.552041899994947,152.553489599959,,,,n,001,2023-11-26_11h10.03.229,final project experiment,2022.2.1,59.91906132949289,
200,7,1,50,2,,,,,152.553489599959,153.5561035399791,153.55499299999792,153.55499299999792,200,down,1,0.4303044000407681,,,,,n,001,2023-11-26_11h10.03.229,final project experiment,2022.2.1,59.91906132949289,
