freq,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text.started,key_resp.started,key_resp.keys,fixation.started,sound_1.started,key_resp_3.started,fixation.stopped,sound_1.stopped,freq,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,text_2.started,key_resp_2.started,key_resp_2.keys,participant,session,date,expName,psychopyVersion,frameRate,
500,2,5,19,4,,,,83.76534959999844,84.76444991001044,84.76487299997825,84.76487299997825,85.44556029996602,500,up,1,0.8962261999840848,,,,priyal,001,2023-11-23_15h02.30.239,final project experiment,2022.2.1,59.942443274308644,
200,2,6,20,3,,,,85.68039389996557,86.6793192099838,86.67955830000574,86.69611869996879,87.37631919997511,200,down,1,0.5209612000035122,,,,priyal,001,2023-11-23_15h02.30.239,final project experiment,2022.2.1,59.942443274308644,
500,3,0,21,4,,,,87.37631919997511,88.36111070999759,88.36131949996343,88.3773812999716,89.05790660000639,500,down,1,0.67755100002978,,,,priyal,001,2023-11-23_15h02.30.239,final project experiment,2022.2.1,59.942443274308644,
500,3,1,22,6,,,,89.05790660000639,90.05961780999205,90.05985209997743,90.05985209997743,90.73956949997228,500,up,1,0.6814775999519043,,,,priyal,001,2023-11-23_15h02.30.239,final project experiment,2022.2.1,59.942443274308644,
500,3,2,23,5,,,,90.77581979997922,91.77452640996198,91.77548229997046,91.79138129996136,92.4551899000071,500,up,1,1.242544699984137,,,,priyal,001,2023-11-23_15h02.30.239,final project experiment,2022.2.1,59.942443274308644,
200,3,3,24,2,,,,93.0404397000093,94.03955870998907,94.03925539995544,94.03925539995544,,200,down,1,1.0106307999812998,,,,priyal,001,2023-11-23_15h02.30.239,final project experiment,2022.2.1,59.942443274308644,
200,3,4,25,3,,,,95.07151559996419,96.07022650997969,96.07048769999528,96.08696019998752,96.75106449995656,200,up,1,0.9598683000076562,,,,priyal,001,2023-11-23_15h02.30.239,final project experiment,2022.2.1,59.942443274308644,
200,3,5,26,1,,,,97.05242759996327,98.0518344099808,98.05198359995848,98.05198359995848,,200,down,1,0.7738348999992013,,,,priyal,001,2023-11-23_15h02.30.239,final project experiment,2022.2.1,59.942443274308644,
200,3,6,27,0,,,,98.8508528000093,99.85040450996603,99.8497301999596,99.8497301999596,100.53030059998855,200,down,1,0.5545897000120021,,,,priyal,001,2023-11-23_15h02.30.239,final project experiment,2022.2.1,59.942443274308644,
500,4,0,28,4,,,,100.53030059998855,101.51506091000628,101.51494929997716,101.53250410000328,,500,up,0,0.7305888999835588,,,,priyal,001,2023-11-23_15h02.30.239,final project experiment,2022.2.1,59.942443274308644,
500,4,1,29,5,,,,102.26392679999117,103.26292440997786,103.26291879999917,103.28018379997229,103.96098799997708,500,down,1,0.8955799000104889,,,,priyal,001,2023-11-23_15h02.30.239,final project experiment,2022.2.1,59.942443274308644,
200,4,2,30,0,,,,104.19294139998965,105.17814670996158,105.17827059997944,105.19505979999667,105.8582585999975,200,down,1,0.8269887000205927,,,,priyal,001,2023-11-23_15h02.30.239,final project experiment,2022.2.1,59.942443274308644,
